"BehaviorSpace results (NetLogo 5.3.1)"
"Whales_ERI_9012017.nlogo"
"InitWhales"
"01/09/2017 15:45:28:900 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","new-permits","initialflags","boat-disturbance","initialwhales","[step]","ticks","count boats","HQ-total","count fish"
"3","1","22","0.01","1050","189","189","120","0.1","0"
"2","1","22","0.01","1050","188","188","116","0.1","0"
"4","1","22","0.01","1050","189","189","117","0.1","0"
"1","1","22","0.01","1050","188","188","119","0.1","0"
"5","1","22","0.01","1050","188","188","123","0.1","0"
"6","1","22","0.01","1050","189","189","120","0.1","0"
"8","1","22","0.01","1050","188","188","120","0.1","0"
"7","1","22","0.01","1050","191","191","117","0.1","0"
"11","1","22","0.01","1050","188","188","120","0.1","0"
"9","1","22","0.01","1050","190","190","125","0.1","0"
"10","1","22","0.01","1050","187","187","119","0.1","0"
"12","1","22","0.01","1050","189","189","115","0.1","0"
"13","1","22","0.01","1050","189","189","117","0.1","0"
"14","1","22","0.01","1050","188","188","115","0.1","0"
"15","1","22","0.01","1050","191","191","120","0.1","0"
"16","1","22","0.01","1050","189","189","120","0.1","0"
"17","1","22","0.01","1050","191","191","125","0.1","0"
"18","1","22","0.01","1050","189","189","117","0.1","0"
"19","1","22","0.01","1050","189","189","119","0.1","0"
"20","1","22","0.01","1050","189","189","119","0.1","0"
"21","1","22","0.01","1050","189","189","116","0.1","0"
"22","1","22","0.01","1050","191","191","126","0.1","0"
"23","1","22","0.01","1050","190","190","121","0.1","0"
"24","1","22","0.01","1050","192","192","121","0.1","0"
"25","1","22","0.01","1050","188","188","121","0.1","0"
"26","1","22","0.01","1050","193","193","121","0.1","0"
"27","1","22","0.01","1050","190","190","119","0.1","0"
"28","1","22","0.01","1050","190","190","115","0.1","0"
"29","1","22","0.01","1050","189","189","123","0.1","0"
"30","1","22","0.01","1050","190","190","116","0.1","0"
"31","1","22","0.01","1050","189","189","115","0.1","0"
"32","1","22","0.01","1050","188","188","114","0.1","0"
"33","1","22","0.01","1050","187","187","117","0.1","0"
"34","1","22","0.01","1050","188","188","124","0.1","0"
"35","1","22","0.01","1050","190","190","120","0.1","0"
"36","1","22","0.01","1050","190","190","114","0.1","0"
"37","1","22","0.01","1050","189","189","119","0.1","0"
"38","1","22","0.01","1050","192","192","124","0.1","0"
"39","1","22","0.01","1050","191","191","116","0.1","0"
"40","1","22","0.01","1050","191","191","114","0.1","0"
"41","1","22","0.01","1050","190","190","113","0.1","0"
"42","1","22","0.01","1050","191","191","119","0.1","0"
"43","1","22","0.01","1050","193","193","119","0.1","0"
"44","1","22","0.01","1050","190","190","117","0.1","0"
"45","1","22","0.01","1050","189","189","120","0.1","0"
"46","1","22","0.01","1050","190","190","115","0.1","0"
"47","1","22","0.01","1050","190","190","113","0.1","0"
"48","1","22","0.01","1050","188","188","114","0.1","0"
"49","1","22","0.01","1050","190","190","118","0.1","0"
"50","1","22","0.01","1050","192","192","115","0.1","0"
"51","1","22","0.01","1050","188","188","116","0.1","0"
